numeric_id,alpha3,nuclear_mw,total_mw,pct
32,ARG,1763.0,32913.1,5.36
51,ARM,375.0,3271.0,11.46
56,BEL,5925.8,13404.8,44.21
76,BRA,1990.0,147589.3,1.35
100,BGR,2000.0,9252.2,21.62
124,CAN,14254.0,143578.7,9.93
156,CHN,33402.0,1415067.4,2.36
203,CZE,4173.0,16871.7,24.73
246,FIN,2752.0,11796.8,23.33
250,FRA,63130.0,110615.9,57.07
276,DEU,11171.0,112040.4,9.97
348,HUN,1886.8,6290.7,29.99
356,IND,8780.0,316088.5,2.78
364,IRN,1000.0,61362.1,1.63
392,JPN,42537.0,215365.9,19.75
484,MEX,1510.0,62365.9,2.42
528,NLD,485.0,16993.7,2.85
586,PAK,1467.0,21455.0,6.84
642,ROU,1298.0,14646.9,8.86
643,RUS,28168.0,228220.1,12.34
703,SVK,1760.0,6230.9,28.25
705,SVN,696.0,2736.0,25.44
710,ZAF,1800.0,50422.7,3.57
410,KOR,23076.0,99472.7,23.2
724,ESP,7120.1,79035.1,9.01
752,SWE,9762.0,26418.7,36.95
756,CHE,3430.0,13118.0,26.15
158,TWN,5214.0,37211.9,14.01
804,UKR,13835.0,48569.8,28.48
826,GBR,8918.0,97155.3,9.18
840,USA,104233.1,1204638.0,8.65
